"";"UF";"V2010";"V403312";"se"
"Rondônia.Branca";"Rondônia";"Branca";2257,24000595784;186,203159578293
"Acre.Branca";"Acre";"Branca";2547,28700025055;189,305947463637
"Amazonas.Branca";"Amazonas";"Branca";2316,42108944748;192,101846947186
"Roraima.Branca";"Roraima";"Branca";2697,99168569131;352,023550669852
"Pará.Branca";"Pará";"Branca";2002,45563673869;120,237355459238
"Amapá.Branca";"Amapá";"Branca";2168,2560420626;232,718295282205
"Tocantins.Branca";"Tocantins";"Branca";2617,27628772248;243,780139018742
"Maranhão.Branca";"Maranhão";"Branca";1701,71050176848;124,870054530775
"Piauí.Branca";"Piauí";"Branca";1799,62985941672;173,473899110504
"Ceará.Branca";"Ceará";"Branca";2252,04927047266;190,807503893416
"Rio Grande do Norte.Branca";"Rio Grande do Norte";"Branca";1955,50250476956;215,212020304435
"Paraíba.Branca";"Paraíba";"Branca";1954,74241994817;179,295937302442
"Pernambuco.Branca";"Pernambuco";"Branca";2232,46236254972;172,54684042251
"Alagoas.Branca";"Alagoas";"Branca";1807,88311323635;103,401834932299
"Sergipe.Branca";"Sergipe";"Branca";2480,24815864852;315,630164319636
"Bahia.Branca";"Bahia";"Branca";2042,06942249243;169,990783937473
"Minas Gerais.Branca";"Minas Gerais";"Branca";2386,05027815065;80,662063646775
"Espírito Santo.Branca";"Espírito Santo";"Branca";2766,46322326376;155,36981205783
"Rio de Janeiro.Branca";"Rio de Janeiro";"Branca";3572,26747860007;139,21757804387
"São Paulo.Branca";"São Paulo";"Branca";3351,79687414144;147,595073458033
"Paraná.Branca";"Paraná";"Branca";2759,8655114053;89,5644734421711
"Santa Catarina.Branca";"Santa Catarina";"Branca";2626,49529648952;59,1355006557066
"Rio Grande do Sul.Branca";"Rio Grande do Sul";"Branca";2631,2885433512;85,8474973124693
"Mato Grosso do Sul.Branca";"Mato Grosso do Sul";"Branca";2711,72513413382;152,69058301332
"Mato Grosso.Branca";"Mato Grosso";"Branca";2768,97131234576;144,486649120675
"Goiás.Branca";"Goiás";"Branca";2332,85490526761;93,9884547319055
"Distrito Federal.Branca";"Distrito Federal";"Branca";5043,99519711386;288,982223636755
"Rondônia.Preta";"Rondônia";"Preta";1733,32968554728;124,040562845426
"Acre.Preta";"Acre";"Preta";1518,85123842244;157,341349448888
"Amazonas.Preta";"Amazonas";"Preta";1643,11006011497;131,631858707194
"Roraima.Preta";"Roraima";"Preta";1540,59479903191;103,743232859646
"Pará.Preta";"Pará";"Preta";1416,81743797508;83,7794718863791
"Amapá.Preta";"Amapá";"Preta";1842,45940732391;430,086659075635
"Tocantins.Preta";"Tocantins";"Preta";1430,02094244851;94,7810484380649
"Maranhão.Preta";"Maranhão";"Preta";1176,12458543621;38,5934465089731
"Piauí.Preta";"Piauí";"Preta";1051,82090166181;71,5602750016242
"Ceará.Preta";"Ceará";"Preta";1293,53366006702;98,1317581140951
"Rio Grande do Norte.Preta";"Rio Grande do Norte";"Preta";1355,40198951031;108,351122529628
"Paraíba.Preta";"Paraíba";"Preta";1303,8587136179;83,7556708220011
"Pernambuco.Preta";"Pernambuco";"Preta";1295,00430382921;56,6779099861403
"Alagoas.Preta";"Alagoas";"Preta";1476,79186345978;175,689287785818
"Sergipe.Preta";"Sergipe";"Preta";1119,11057618746;73,8125146855809
"Bahia.Preta";"Bahia";"Preta";1286,07516884277;49,2519073569073
"Minas Gerais.Preta";"Minas Gerais";"Preta";1534,50722441543;42,2602115809316
"Espírito Santo.Preta";"Espírito Santo";"Preta";1731,66107254099;87,5359858565588
"Rio de Janeiro.Preta";"Rio de Janeiro";"Preta";1840,57419722031;79,9571584144993
"São Paulo.Preta";"São Paulo";"Preta";1865,34597949923;55,6305466558772
"Paraná.Preta";"Paraná";"Preta";1696,09119056317;66,7131361384933
"Santa Catarina.Preta";"Santa Catarina";"Preta";2060,68376053074;92,8684576641107
"Rio Grande do Sul.Preta";"Rio Grande do Sul";"Preta";1816,41163027756;95,06911099758
"Mato Grosso do Sul.Preta";"Mato Grosso do Sul";"Preta";1792,73729118802;91,3878559500481
"Mato Grosso.Preta";"Mato Grosso";"Preta";1867,36689195641;86,9475754181448
"Goiás.Preta";"Goiás";"Preta";1680,55276496312;75,7021720339967
"Distrito Federal.Preta";"Distrito Federal";"Preta";2807,98467544231;195,013089707592
"Rondônia.Amarela";"Rondônia";"Amarela";2249,1319413293;708,69117035676
"Acre.Amarela";"Acre";"Amarela";1516,69713676761;431,44357302135
"Amazonas.Amarela";"Amazonas";"Amarela";1935,80435163991;502,640408439723
"Roraima.Amarela";"Roraima";"Amarela";2268,80703030572;1621,8107139301
"Pará.Amarela";"Pará";"Amarela";1456,75745333865;385,378130933217
"Amapá.Amarela";"Amapá";"Amarela";2728,96068897917;1102,94055577558
"Tocantins.Amarela";"Tocantins";"Amarela";2559,16478497618;1113,99502980338
"Maranhão.Amarela";"Maranhão";"Amarela";1854,17660703265;432,723306956806
"Piauí.Amarela";"Piauí";"Amarela";642,369114716596;322,239068729683
"Ceará.Amarela";"Ceará";"Amarela";1612,11810791971;387,405180022916
"Rio Grande do Norte.Amarela";"Rio Grande do Norte";"Amarela";1371,69666780151;417,758122464684
"Paraíba.Amarela";"Paraíba";"Amarela";2342,21348051333;590,411877807942
"Pernambuco.Amarela";"Pernambuco";"Amarela";2031,26592720675;624,948092950496
"Alagoas.Amarela";"Alagoas";"Amarela";1267,60421561863;201,425125349766
"Sergipe.Amarela";"Sergipe";"Amarela";585,37557332436;108,356606775635
"Bahia.Amarela";"Bahia";"Amarela";1738,50748506706;569,135027536922
"Minas Gerais.Amarela";"Minas Gerais";"Amarela";2740,30003754239;527,94299260212
"Espírito Santo.Amarela";"Espírito Santo";"Amarela";3633,72257692814;922,1267670427
"Rio de Janeiro.Amarela";"Rio de Janeiro";"Amarela";3698,59735074518;786,367615911264
"São Paulo.Amarela";"São Paulo";"Amarela";5730,64905736619;1040,45104457276
"Paraná.Amarela";"Paraná";"Amarela";3126,44785564515;397,616728427094
"Santa Catarina.Amarela";"Santa Catarina";"Amarela";1768,00184302978;232,809648298847
"Rio Grande do Sul.Amarela";"Rio Grande do Sul";"Amarela";2544,76710930701;911,010264758955
"Mato Grosso do Sul.Amarela";"Mato Grosso do Sul";"Amarela";3901,73067547995;524,348459919828
"Mato Grosso.Amarela";"Mato Grosso";"Amarela";2255,29494430065;441,16464415697
"Goiás.Amarela";"Goiás";"Amarela";2079,80650326848;326,436213307124
"Distrito Federal.Amarela";"Distrito Federal";"Amarela";5217,29734292512;1995,39678208051
"Rondônia.Parda";"Rondônia";"Parda";1750,30885587772;54,6605119904363
"Acre.Parda";"Acre";"Parda";1632,01511866728;62,5472295954584
"Amazonas.Parda";"Amazonas";"Parda";1529,15110323301;94,3387304554223
"Roraima.Parda";"Roraima";"Parda";2024,33143540319;161,221619517033
"Pará.Parda";"Pará";"Parda";1292,6102796488;38,0622968555461
"Amapá.Parda";"Amapá";"Parda";1737,6220046678;91,298863163466
"Tocantins.Parda";"Tocantins";"Parda";1612,80461782829;83,5629545224049
"Maranhão.Parda";"Maranhão";"Parda";1196,00957797669;44,4228603932052
"Piauí.Parda";"Piauí";"Parda";1163,32196466499;60,4624969919371
"Ceará.Parda";"Ceará";"Parda";1305,01447487047;49,7526976949359
"Rio Grande do Norte.Parda";"Rio Grande do Norte";"Parda";1519,49639968099;96,5036252944004
"Paraíba.Parda";"Paraíba";"Parda";1337,12515722718;73,7216961746938
"Pernambuco.Parda";"Pernambuco";"Parda";1356,10851190083;68,5123594158076
"Alagoas.Parda";"Alagoas";"Parda";1312,80147182167;57,2168720982468
"Sergipe.Parda";"Sergipe";"Parda";1337,86924845965;81,8426102356059
"Bahia.Parda";"Bahia";"Parda";1463,7476368546;85,0389381893502
"Minas Gerais.Parda";"Minas Gerais";"Parda";1571,91512744545;28,6803892483867
"Espírito Santo.Parda";"Espírito Santo";"Parda";1748,34161710661;55,4679677632587
"Rio de Janeiro.Parda";"Rio de Janeiro";"Parda";2017,09349676806;49,6814648093112
"São Paulo.Parda";"São Paulo";"Parda";1943,65269440564;68,8545535420482
"Paraná.Parda";"Paraná";"Parda";1891,65641062115;50,6841116560814
"Santa Catarina.Parda";"Santa Catarina";"Parda";1874,13974771419;45,7832901626937
"Rio Grande do Sul.Parda";"Rio Grande do Sul";"Parda";1844,14251956942;87,5780438477269
"Mato Grosso do Sul.Parda";"Mato Grosso do Sul";"Parda";1825,21702479862;48,7844795423855
"Mato Grosso.Parda";"Mato Grosso";"Parda";1946,53454868764;46,5992581396907
"Goiás.Parda";"Goiás";"Parda";1839,18825580415;53,6054912470475
"Distrito Federal.Parda";"Distrito Federal";"Parda";3212,93902273358;194,641316637086
"Rondônia.Indígena";"Rondônia";"Indígena";1757,25649810843;462,837624242653
"Acre.Indígena";"Acre";"Indígena";4077,09426486175;2233,68167016317
"Amazonas.Indígena";"Amazonas";"Indígena";826,851003877266;116,472689602141
"Roraima.Indígena";"Roraima";"Indígena";1163,19156435506;121,871474796828
"Pará.Indígena";"Pará";"Indígena";2273,71145553647;1023,13707442881
"Amapá.Indígena";"Amapá";"Indígena";7254,95688785988;3302,45769255575
"Tocantins.Indígena";"Tocantins";"Indígena";998,970329844305;110,968349837415
"Maranhão.Indígena";"Maranhão";"Indígena";1450,5726537491;257,753092949609
"Piauí.Indígena";"Piauí";"Indígena";341,888510651649;224,190912624941
"Ceará.Indígena";"Ceará";"Indígena";1103,74610286551;184,496739264665
"Rio Grande do Norte.Indígena";"Rio Grande do Norte";"Indígena";1751,4166846407;267,061445597571
"Paraíba.Indígena";"Paraíba";"Indígena";1522,01765681121;354,100478154685
"Pernambuco.Indígena";"Pernambuco";"Indígena";2966,92719004362;1651,33757725649
"Alagoas.Indígena";"Alagoas";"Indígena";907,60336629511;81,608503541153
"Sergipe.Indígena";"Sergipe";"Indígena";1126,13784462504;154,97777238801
"Bahia.Indígena";"Bahia";"Indígena";1082,37677271237;162,024901801527
"Minas Gerais.Indígena";"Minas Gerais";"Indígena";3119,62060378472;1311,30781018404
"Espírito Santo.Indígena";"Espírito Santo";"Indígena";1461,42119544368;163,21077973293
"Rio de Janeiro.Indígena";"Rio de Janeiro";"Indígena";2076,33253035671;326,185418915743
"São Paulo.Indígena";"São Paulo";"Indígena";2122,88778304747;660,033767504804
"Paraná.Indígena";"Paraná";"Indígena";1960,10700734191;258,72989836033
"Santa Catarina.Indígena";"Santa Catarina";"Indígena";1746,68930877211;246,314837540363
"Rio Grande do Sul.Indígena";"Rio Grande do Sul";"Indígena";3270,21989636049;1003,50838814085
"Mato Grosso do Sul.Indígena";"Mato Grosso do Sul";"Indígena";1592,19627880036;211,259131029309
"Mato Grosso.Indígena";"Mato Grosso";"Indígena";2084,18609894861;511,587979892358
"Goiás.Indígena";"Goiás";"Indígena";2028,0018582408;428,519215292973
"Distrito Federal.Indígena";"Distrito Federal";"Indígena";2725,45095166215;771,019473396898
"Rio Grande do Norte.Ignorado";"Rio Grande do Norte";"Ignorado";300;1,13972125090433e-14
"Paraíba.Ignorado";"Paraíba";"Ignorado";500;2,87765510046611e-14
"Sergipe.Ignorado";"Sergipe";"Ignorado";50;5,03690390735539e-16
"Bahia.Ignorado";"Bahia";"Ignorado";1263,57928947969;320,949767839922
"Espírito Santo.Ignorado";"Espírito Santo";"Ignorado";3608,08577227836;753,731564548064
"Rio de Janeiro.Ignorado";"Rio de Janeiro";"Ignorado";3187,82596701296;1488,29756811444
"São Paulo.Ignorado";"São Paulo";"Ignorado";7000;7,94868761039635e-13
"Paraná.Ignorado";"Paraná";"Ignorado";1100;6,64565978755603e-14
"Santa Catarina.Ignorado";"Santa Catarina";"Ignorado";1400;3,9481102260645e-14
"Rio Grande do Sul.Ignorado";"Rio Grande do Sul";"Ignorado";7500;8,25649190164673e-13
